f(GHz)	  e'	  e"	  u'	  u"	tan_e	tan_u	  RL	RL_med	 Zin	 S11	 S21	   A	   R	   T	 SEt	 SEr	 SEa	SEmr
8.20	0.03	0.00	0.03	0.00	0.06	0.06	-0.05	-1.19	0.14	1.00	0.02	0.01	0.99	0.00	31.75	22.02	10.53	-0.80
8.21	0.03	0.00	0.03	0.00	0.06	0.06	-0.05	-1.19	0.14	1.00	0.02	0.01	0.99	0.00	31.67	21.95	10.52	-0.80
8.22	0.03	0.00	0.03	0.00	0.06	0.06	-0.05	-1.19	0.14	1.00	0.02	0.01	0.99	0.00	31.60	21.89	10.51	-0.80
8.23	0.03	0.00	0.03	0.00	0.06	0.06	-0.05	-1.19	0.15	1.00	0.02	0.01	0.99	0.00	31.52	21.82	10.50	-0.80
8.24	0.03	0.00	0.03	0.00	0.06	0.06	-0.05	-1.19	0.15	1.00	0.02	0.01	0.99	0.00	31.45	21.76	10.50	-0.81
8.25	0.03	0.00	0.03	0.00	0.06	0.06	-0.05	-1.19	0.15	1.00	0.02	0.01	0.99	0.00	31.38	21.69	10.49	-0.81
8.26	0.03	0.00	0.03	0.00	0.06	0.06	-0.05	-1.19	0.15	1.00	0.02	0.01	0.99	0.00	31.30	21.63	10.48	-0.81
8.27	0.03	0.00	0.03	0.00	0.06	0.06	-0.05	-1.19	0.15	1.00	0.03	0.01	0.99	0.00	31.23	21.57	10.47	-0.81
8.28	0.03	0.00	0.03	0.00	0.06	0.06	-0.05	-1.19	0.16	1.00	0.03	0.01	0.99	0.00	31.15	21.50	10.46	-0.81
8.29	0.03	0.00	0.03	0.00	0.06	0.06	-0.05	-1.19	0.16	1.00	0.03	0.01	0.99	0.00	31.08	21.44	10.46	-0.81
8.30	0.03	0.00	0.03	0.00	0.06	0.06	-0.06	-1.19	0.16	1.00	0.03	0.01	0.99	0.00	31.00	21.37	10.45	-0.81
8.31	0.03	0.00	0.03	0.00	0.06	0.06	-0.06	-1.19	0.16	1.00	0.03	0.01	0.99	0.00	30.93	21.30	10.44	-0.82
8.32	0.03	0.00	0.03	0.00	0.06	0.06	-0.06	-1.19	0.16	1.00	0.03	0.01	0.99	0.00	30.85	21.24	10.43	-0.82
8.33	0.03	0.00	0.03	0.00	0.06	0.06	-0.06	-1.19	0.17	1.00	0.03	0.01	0.99	0.00	30.78	21.17	10.43	-0.82
8.34	0.03	0.00	0.03	0.00	0.07	0.07	-0.06	-1.19	0.17	1.00	0.03	0.01	0.99	0.00	30.70	21.11	10.42	-0.82
8.35	0.03	0.00	0.03	0.00	0.07	0.07	-0.06	-1.19	0.17	1.00	0.03	0.01	0.99	0.00	30.63	21.04	10.41	-0.82
8.36	0.03	0.00	0.03	0.00	0.07	0.07	-0.06	-1.19	0.17	1.00	0.03	0.01	0.99	0.00	30.55	20.97	10.40	-0.82
8.37	0.03	0.00	0.03	0.00	0.07	0.07	-0.06	-1.19	0.17	1.00	0.03	0.01	0.99	0.00	30.48	20.91	10.40	-0.82
8.38	0.03	0.00	0.03	0.00	0.07	0.07	-0.06	-1.19	0.18	1.00	0.03	0.01	0.99	0.00	30.40	20.84	10.39	-0.83
8.39	0.03	0.00	0.03	0.00	0.07	0.07	-0.06	-1.19	0.18	1.00	0.03	0.01	0.99	0.00	30.33	20.77	10.38	-0.83
8.40	0.03	0.00	0.03	0.00	0.07	0.07	-0.06	-1.19	0.18	1.00	0.03	0.01	0.99	0.00	30.25	20.70	10.37	-0.83
8.41	0.03	0.00	0.03	0.00	0.07	0.07	-0.06	-1.19	0.18	1.00	0.03	0.01	0.99	0.00	30.17	20.64	10.37	-0.83
8.42	0.03	0.00	0.03	0.00	0.07	0.07	-0.06	-1.19	0.19	1.00	0.03	0.01	0.99	0.00	30.10	20.57	10.36	-0.83
8.43	0.03	0.00	0.03	0.00	0.07	0.07	-0.07	-1.19	0.19	1.00	0.03	0.01	0.99	0.00	30.02	20.50	10.35	-0.83
8.44	0.03	0.00	0.03	0.00	0.07	0.07	-0.07	-1.19	0.19	1.00	0.03	0.01	0.99	0.00	29.94	20.43	10.35	-0.83
8.45	0.03	0.00	0.03	0.00	0.07	0.07	-0.07	-1.19	0.20	1.00	0.03	0.01	0.99	0.00	29.87	20.36	10.34	-0.83
8.46	0.03	0.00	0.03	0.00	0.07	0.07	-0.07	-1.19	0.20	1.00	0.03	0.01	0.99	0.00	29.79	20.29	10.33	-0.84
8.47	0.03	0.00	0.03	0.00	0.07	0.07	-0.07	-1.19	0.20	1.00	0.03	0.01	0.99	0.00	29.71	20.22	10.33	-0.84
8.48	0.03	0.00	0.03	0.00	0.07	0.07	-0.07	-1.19	0.20	1.00	0.03	0.01	0.99	0.00	29.63	20.15	10.32	-0.84
8.49	0.03	0.00	0.03	0.00	0.07	0.07	-0.07	-1.19	0.21	1.00	0.03	0.01	0.99	0.00	29.55	20.08	10.31	-0.84
8.50	0.03	0.00	0.03	0.00	0.07	0.07	-0.07	-1.19	0.21	1.00	0.03	0.01	0.99	0.00	29.48	20.01	10.31	-0.84
8.51	0.03	0.00	0.03	0.00	0.07	0.07	-0.07	-1.19	0.21	0.99	0.03	0.01	0.99	0.00	29.40	19.94	10.30	-0.84
8.52	0.03	0.00	0.03	0.00	0.07	0.07	-0.07	-1.19	0.22	0.99	0.03	0.01	0.99	0.00	29.32	19.87	10.29	-0.84
8.53	0.03	0.00	0.03	0.00	0.07	0.07	-0.08	-1.19	0.22	0.99	0.03	0.01	0.99	0.00	29.24	19.80	10.29	-0.84
8.54	0.03	0.00	0.03	0.00	0.07	0.07	-0.08	-1.19	0.22	0.99	0.03	0.01	0.99	0.00	29.16	19.73	10.28	-0.85
8.55	0.03	0.00	0.03	0.00	0.08	0.08	-0.08	-1.19	0.23	0.99	0.03	0.01	0.99	0.00	29.08	19.65	10.27	-0.85
8.56	0.03	0.00	0.03	0.00	0.08	0.08	-0.08	-1.19	0.23	0.99	0.03	0.01	0.99	0.00	29.00	19.58	10.27	-0.85
8.57	0.03	0.00	0.03	0.00	0.08	0.08	-0.08	-1.19	0.23	0.99	0.03	0.01	0.99	0.00	28.92	19.51	10.26	-0.85
8.58	0.03	0.00	0.03	0.00	0.08	0.08	-0.08	-1.19	0.24	0.99	0.03	0.01	0.99	0.00	28.84	19.44	10.25	-0.85
8.59	0.03	0.00	0.03	0.00	0.08	0.08	-0.08	-1.19	0.24	0.99	0.03	0.01	0.99	0.00	28.76	19.36	10.25	-0.85
8.60	0.04	0.00	0.04	0.00	0.08	0.08	-0.08	-1.19	0.24	0.99	0.03	0.01	0.99	0.00	28.68	19.29	10.24	-0.85
8.61	0.04	0.00	0.04	0.00	0.08	0.08	-0.09	-1.19	0.25	0.99	0.03	0.01	0.99	0.00	28.60	19.22	10.24	-0.85
8.62	0.04	0.00	0.04	0.00	0.08	0.08	-0.09	-1.19	0.25	0.99	0.03	0.01	0.99	0.00	28.52	19.14	10.23	-0.85
8.63	0.04	0.00	0.04	0.00	0.08	0.08	-0.09	-1.19	0.26	0.99	0.03	0.01	0.99	0.00	28.44	19.07	10.22	-0.86
8.64	0.04	0.00	0.04	0.00	0.08	0.08	-0.09	-1.19	0.26	0.99	0.03	0.01	0.99	0.00	28.35	18.99	10.22	-0.86
8.65	0.04	0.00	0.04	0.00	0.08	0.08	-0.09	-1.19	0.26	0.99	0.03	0.01	0.99	0.00	28.27	18.92	10.21	-0.86
8.66	0.04	0.00	0.04	0.00	0.08	0.08	-0.09	-1.19	0.27	0.99	0.04	0.01	0.99	0.00	28.19	18.84	10.21	-0.86
8.67	0.04	0.00	0.04	0.00	0.08	0.08	-0.09	-1.19	0.27	0.99	0.04	0.01	0.99	0.00	28.10	18.76	10.20	-0.86
8.68	0.04	0.00	0.04	0.00	0.08	0.08	-0.10	-1.19	0.28	0.99	0.04	0.01	0.99	0.00	28.02	18.69	10.19	-0.86
8.69	0.04	0.00	0.04	0.00	0.08	0.08	-0.10	-1.19	0.28	0.99	0.04	0.01	0.99	0.00	27.94	18.61	10.19	-0.86
8.70	0.04	0.00	0.04	0.00	0.08	0.08	-0.10	-1.19	0.29	0.99	0.04	0.01	0.99	0.00	27.85	18.53	10.18	-0.86
8.71	0.04	0.00	0.04	0.00	0.09	0.09	-0.10	-1.19	0.29	0.99	0.04	0.01	0.99	0.00	27.77	18.45	10.18	-0.86
8.72	0.04	0.00	0.04	0.00	0.09	0.09	-0.10	-1.19	0.30	0.99	0.04	0.01	0.99	0.00	27.68	18.38	10.17	-0.86
8.73	0.04	0.00	0.04	0.00	0.09	0.09	-0.10	-1.19	0.30	0.99	0.04	0.01	0.99	0.00	27.60	18.30	10.17	-0.87
8.74	0.04	0.00	0.04	0.00	0.09	0.09	-0.11	-1.19	0.31	0.99	0.04	0.01	0.98	0.00	27.51	18.22	10.16	-0.87
8.75	0.04	0.00	0.04	0.00	0.09	0.09	-0.11	-1.19	0.31	0.99	0.04	0.01	0.98	0.00	27.43	18.14	10.16	-0.87
8.76	0.04	0.00	0.04	0.00	0.09	0.09	-0.11	-1.19	0.32	0.99	0.04	0.01	0.98	0.00	27.34	18.06	10.15	-0.87
