f(GHz)	  e'	  e"	  u'	  u"	tan_e	tan_u	  RL	RL_med	 Zin	 S11	 S21	   A	   R	   T	 SEt	 SEr	 SEa	SEmr
8.20	2.99	0.18	2.99	0.18	0.06	0.06	-5.14	-123.32	85.45	0.35	0.68	0.42	0.12	0.46	2.83	0.55	2.84	-0.56
8.21	3.01	0.18	3.01	0.18	0.06	0.06	-5.20	-123.32	77.73	0.34	0.68	0.43	0.12	0.46	2.87	0.54	2.87	-0.54
8.22	3.02	0.18	3.02	0.18	0.06	0.06	-5.27	-123.32	70.91	0.34	0.67	0.43	0.12	0.45	2.90	0.53	2.90	-0.53
8.23	3.04	0.18	3.04	0.18	0.06	0.06	-5.33	-123.32	64.90	0.34	0.67	0.44	0.11	0.45	2.94	0.52	2.93	-0.51
8.24	3.05	0.18	3.05	0.18	0.06	0.06	-5.40	-123.32	59.61	0.33	0.67	0.44	0.11	0.45	2.97	0.51	2.96	-0.50
8.25	3.07	0.19	3.07	0.19	0.06	0.06	-5.47	-123.32	54.94	0.33	0.67	0.45	0.11	0.45	3.01	0.49	3.00	-0.48
8.26	3.08	0.19	3.08	0.19	0.06	0.06	-5.54	-123.32	50.83	0.32	0.67	0.45	0.10	0.45	3.05	0.48	3.03	-0.46
8.27	3.10	0.19	3.10	0.19	0.06	0.06	-5.61	-123.32	47.19	0.32	0.67	0.46	0.10	0.44	3.09	0.46	3.07	-0.44
8.28	3.11	0.19	3.11	0.19	0.06	0.06	-5.68	-123.32	43.97	0.31	0.66	0.46	0.10	0.44	3.12	0.45	3.10	-0.43
8.29	3.13	0.20	3.13	0.20	0.06	0.06	-5.75	-123.32	41.12	0.31	0.66	0.47	0.09	0.44	3.16	0.43	3.14	-0.41
8.30	3.15	0.20	3.15	0.20	0.06	0.06	-5.82	-123.32	38.59	0.30	0.66	0.47	0.09	0.44	3.20	0.41	3.18	-0.39
8.31	3.16	0.20	3.16	0.20	0.06	0.06	-5.90	-123.32	36.35	0.30	0.66	0.48	0.09	0.44	3.24	0.40	3.21	-0.37
8.32	3.18	0.20	3.18	0.20	0.06	0.06	-5.98	-123.32	34.34	0.29	0.66	0.48	0.08	0.43	3.28	0.38	3.25	-0.35
8.33	3.20	0.20	3.20	0.20	0.06	0.06	-6.06	-123.32	32.56	0.28	0.66	0.49	0.08	0.43	3.32	0.36	3.29	-0.33
8.34	3.21	0.21	3.21	0.21	0.06	0.06	-6.13	-123.32	30.97	0.28	0.66	0.49	0.08	0.43	3.36	0.34	3.33	-0.31
8.35	3.23	0.21	3.23	0.21	0.06	0.06	-6.22	-123.32	29.56	0.27	0.65	0.50	0.07	0.43	3.40	0.33	3.37	-0.29
8.36	3.25	0.21	3.25	0.21	0.07	0.07	-6.30	-123.32	28.30	0.26	0.65	0.51	0.07	0.42	3.44	0.31	3.41	-0.28
8.37	3.27	0.21	3.27	0.21	0.07	0.07	-6.38	-123.32	27.18	0.25	0.65	0.51	0.06	0.42	3.48	0.29	3.45	-0.26
8.38	3.28	0.22	3.28	0.22	0.07	0.07	-6.47	-123.32	26.18	0.25	0.65	0.52	0.06	0.42	3.53	0.27	3.49	-0.24
8.39	3.30	0.22	3.30	0.22	0.07	0.07	-6.56	-123.32	25.29	0.24	0.65	0.53	0.06	0.42	3.57	0.25	3.54	-0.22
8.40	3.32	0.22	3.32	0.22	0.07	0.07	-6.65	-123.32	24.51	0.23	0.64	0.53	0.05	0.42	3.62	0.24	3.58	-0.20
8.41	3.34	0.23	3.34	0.23	0.07	0.07	-6.74	-123.32	23.83	0.22	0.64	0.54	0.05	0.41	3.66	0.22	3.63	-0.19
8.42	3.36	0.23	3.36	0.23	0.07	0.07	-6.83	-123.32	23.23	0.21	0.64	0.54	0.05	0.41	3.71	0.20	3.67	-0.17
8.43	3.38	0.23	3.38	0.23	0.07	0.07	-6.92	-123.32	22.72	0.21	0.64	0.55	0.04	0.41	3.75	0.19	3.72	-0.16
8.44	3.39	0.23	3.39	0.23	0.07	0.07	-7.02	-123.32	22.28	0.20	0.64	0.56	0.04	0.40	3.80	0.17	3.77	-0.14
8.45	3.41	0.24	3.41	0.24	0.07	0.07	-7.12	-123.32	21.92	0.19	0.63	0.56	0.04	0.40	3.85	0.16	3.82	-0.13
8.46	3.43	0.24	3.43	0.24	0.07	0.07	-7.22	-123.32	21.63	0.18	0.63	0.57	0.03	0.40	3.89	0.15	3.87	-0.12
8.47	3.45	0.24	3.45	0.24	0.07	0.07	-7.32	-123.32	21.41	0.17	0.63	0.58	0.03	0.39	3.94	0.13	3.92	-0.11
8.48	3.47	0.25	3.47	0.25	0.07	0.07	-7.42	-123.32	21.25	0.17	0.62	0.58	0.03	0.39	4.00	0.12	3.97	-0.10
8.49	3.49	0.25	3.49	0.25	0.07	0.07	-7.53	-123.32	21.16	0.16	0.62	0.59	0.03	0.39	4.05	0.11	4.02	-0.09
8.50	3.52	0.25	3.52	0.25	0.07	0.07	-7.64	-123.32	21.14	0.15	0.62	0.59	0.02	0.38	4.10	0.10	4.08	-0.08
8.51	3.54	0.26	3.54	0.26	0.07	0.07	-7.75	-123.32	21.18	0.15	0.61	0.60	0.02	0.38	4.15	0.09	4.13	-0.07
8.52	3.56	0.26	3.56	0.26	0.07	0.07	-7.86	-123.32	21.30	0.14	0.61	0.61	0.02	0.37	4.21	0.09	4.19	-0.07
8.53	3.58	0.26	3.58	0.26	0.07	0.07	-7.97	-123.32	21.48	0.14	0.61	0.61	0.02	0.37	4.27	0.08	4.25	-0.06
8.54	3.60	0.27	3.60	0.27	0.07	0.07	-8.09	-123.32	21.74	0.13	0.60	0.62	0.02	0.36	4.32	0.08	4.30	-0.06
8.55	3.62	0.27	3.62	0.27	0.07	0.07	-8.21	-123.32	22.08	0.13	0.60	0.62	0.02	0.36	4.38	0.08	4.36	-0.06
8.56	3.65	0.27	3.65	0.27	0.08	0.08	-8.33	-123.32	22.50	0.13	0.60	0.63	0.02	0.35	4.45	0.08	4.42	-0.05
8.57	3.67	0.28	3.67	0.28	0.08	0.08	-8.46	-123.32	23.01	0.13	0.59	0.63	0.02	0.35	4.51	0.08	4.49	-0.05
8.58	3.69	0.28	3.69	0.28	0.08	0.08	-8.58	-123.32	23.62	0.13	0.59	0.64	0.02	0.34	4.57	0.08	4.55	-0.05
8.59	3.71	0.29	3.71	0.29	0.08	0.08	-8.71	-123.32	24.34	0.14	0.58	0.64	0.02	0.34	4.64	0.08	4.62	-0.06
8.60	3.74	0.29	3.74	0.29	0.08	0.08	-8.85	-123.32	25.17	0.14	0.58	0.65	0.02	0.33	4.71	0.09	4.68	-0.06
8.61	3.76	0.29	3.76	0.29	0.08	0.08	-8.98	-123.32	26.14	0.14	0.57	0.65	0.02	0.33	4.78	0.09	4.75	-0.06
8.62	3.79	0.30	3.79	0.30	0.08	0.08	-9.12	-123.32	27.25	0.15	0.57	0.66	0.02	0.32	4.85	0.10	4.82	-0.06
8.63	3.81	0.30	3.81	0.30	0.08	0.08	-9.26	-123.32	28.53	0.15	0.56	0.66	0.02	0.32	4.93	0.11	4.89	-0.07
8.64	3.84	0.31	3.84	0.31	0.08	0.08	-9.41	-123.32	29.98	0.16	0.56	0.66	0.03	0.31	5.00	0.11	4.96	-0.07
8.65	3.86	0.31	3.86	0.31	0.08	0.08	-9.56	-123.32	31.64	0.17	0.55	0.67	0.03	0.30	5.08	0.12	5.03	-0.08
8.66	3.89	0.32	3.89	0.32	0.08	0.08	-9.71	-123.32	33.52	0.17	0.55	0.67	0.03	0.30	5.16	0.13	5.11	-0.08
8.67	3.91	0.32	3.91	0.32	0.08	0.08	-9.86	-123.32	35.65	0.18	0.54	0.67	0.03	0.29	5.24	0.14	5.19	-0.09
8.68	3.94	0.32	3.94	0.32	0.08	0.08	-10.02	-123.32	38.06	0.19	0.54	0.68	0.03	0.29	5.33	0.15	5.27	-0.09
8.69	3.97	0.33	3.97	0.33	0.08	0.08	-10.18	-123.32	40.78	0.19	0.53	0.68	0.04	0.28	5.42	0.16	5.35	-0.09
8.70	3.99	0.33	3.99	0.33	0.08	0.08	-10.35	-123.32	43.81	0.20	0.52	0.69	0.04	0.28	5.50	0.17	5.43	-0.10
8.71	4.02	0.34	4.02	0.34	0.08	0.08	-10.52	-123.32	47.18	0.20	0.52	0.69	0.04	0.27	5.60	0.18	5.51	-0.10
8.72	4.05	0.34	4.05	0.34	0.09	0.09	-10.69	-123.32	50.89	0.21	0.51	0.69	0.04	0.26	5.69	0.19	5.60	-0.11
8.73	4.08	0.35	4.08	0.35	0.09	0.09	-10.87	-123.32	54.90	0.21	0.51	0.70	0.05	0.26	5.78	0.20	5.69	-0.11
8.74	4.11	0.36	4.11	0.36	0.09	0.09	-11.05	-123.32	59.16	0.22	0.50	0.70	0.05	0.25	5.88	0.21	5.78	-0.11
8.75	4.14	0.36	4.14	0.36	0.09	0.09	-11.23	-123.32	63.55	0.22	0.50	0.70	0.05	0.25	5.98	0.22	5.87	-0.11
8.76	4.17	0.37	4.17	0.37	0.09	0.09	-11.43	-123.32	67.93	0.23	0.49	0.71	0.05	0.24	6.08	0.23	5.96	-0.11
8.77	4.20	0.37	4.20	0.37	0.09	0.09	-11.62	-123.32	72.06	0.23	0.48	0.71	0.05	0.23	6.18	0.23	6.06	-0.11
8.78	4.23	0.38	4.23	0.38	0.09	0.09	-11.82	-123.32	75.68	0.23	0.48	0.72	0.05	0.23	6.29	0.24	6.16	-0.11
8.79	4.26	0.38	4.26	0.38	0.09	0.09	-12.02	-123.32	78.52	0.23	0.47	0.72	0.05	0.22	6.39	0.24	6.26	-0.11
8.80	4.29	0.39	4.29	0.39	0.09	0.09	-12.23	-123.32	80.32	0.23	0.47	0.73	0.05	0.22	6.50	0.24	6.37	-0.11
8.81	4.32	0.40	4.32	0.40	0.09	0.09	-12.45	-123.32	80.92	0.23	0.46	0.73	0.05	0.21	6.61	0.24	6.47	-0.11
8.82	4.36	0.40	4.36	0.40	0.09	0.09	-12.67	-123.32	80.28	0.23	0.46	0.74	0.05	0.21	6.72	0.24	6.58	-0.10
8.83	4.39	0.41	4.39	0.41	0.09	0.09	-12.90	-123.32	78.49	0.23	0.45	0.74	0.05	0.20	6.83	0.24	6.70	-0.10
8.84	4.42	0.42	4.42	0.42	0.09	0.09	-13.13	-123.32	75.75	0.23	0.44	0.75	0.05	0.20	6.95	0.24	6.81	-0.10
8.85	4.46	0.42	4.46	0.42	0.10	0.10	-13.37	-123.32	72.35	0.23	0.44	0.76	0.05	0.19	7.07	0.23	6.93	-0.09
8.86	4.49	0.43	4.49	0.43	0.10	0.10	-13.61	-123.32	68.54	0.22	0.43	0.76	0.05	0.19	7.19	0.22	7.05	-0.09
8.87	4.53	0.44	4.53	0.44	0.10	0.10	-13.86	-123.32	64.60	0.22	0.43	0.77	0.05	0.18	7.31	0.22	7.17	-0.08
8.88	4.56	0.45	4.56	0.45	0.10	0.10	-14.12	-123.32	60.71	0.22	0.42	0.78	0.05	0.18	7.44	0.21	7.30	-0.08
8.89	4.60	0.45	4.60	0.45	0.10	0.10	-14.38	-123.32	57.02	0.21	0.42	0.78	0.05	0.17	7.56	0.20	7.43	-0.07
8.90	4.64	0.46	4.64	0.46	0.10	0.10	-14.65	-123.32	53.63	0.21	0.41	0.79	0.04	0.17	7.69	0.19	7.57	-0.07
8.91	4.68	0.47	4.68	0.47	0.10	0.10	-14.93	-123.32	50.58	0.20	0.40	0.80	0.04	0.16	7.83	0.18	7.71	-0.06
8.92	4.72	0.48	4.72	0.48	0.10	0.10	-15.22	-123.32	47.90	0.20	0.40	0.80	0.04	0.16	7.97	0.17	7.85	-0.06
8.93	4.76	0.49	4.76	0.49	0.10	0.10	-15.51	-123.32	45.59	0.19	0.39	0.81	0.04	0.15	8.11	0.16	8.00	-0.05
8.94	4.80	0.50	4.80	0.50	0.10	0.10	-15.81	-123.32	43.64	0.19	0.38	0.82	0.03	0.15	8.25	0.15	8.15	-0.05
8.95	4.84	0.51	4.84	0.51	0.10	0.10	-16.12	-123.32	42.04	0.18	0.38	0.82	0.03	0.14	8.40	0.14	8.30	-0.04
8.96	4.88	0.52	4.88	0.52	0.11	0.11	-16.44	-123.32	40.78	0.18	0.37	0.83	0.03	0.14	8.56	0.14	8.46	-0.04
8.97	4.92	0.53	4.92	0.53	0.11	0.11	-16.77	-123.32	39.84	0.17	0.37	0.84	0.03	0.13	8.72	0.13	8.62	-0.03
8.98	4.96	0.54	4.96	0.54	0.11	0.11	-17.11	-123.32	39.20	0.17	0.36	0.84	0.03	0.13	8.88	0.12	8.79	-0.03
8.99	5.01	0.55	5.01	0.55	0.11	0.11	-17.46	-123.32	38.86	0.16	0.35	0.85	0.03	0.12	9.05	0.12	8.97	-0.03
9.00	5.05	0.56	5.05	0.56	0.11	0.11	-17.81	-123.32	38.80	0.16	0.34	0.86	0.03	0.12	9.23	0.12	9.14	-0.03
9.01	5.10	0.57	5.10	0.57	0.11	0.11	-18.18	-123.32	39.03	0.16	0.34	0.86	0.03	0.11	9.42	0.11	9.33	-0.03
9.02	5.15	0.58	5.15	0.58	0.11	0.11	-18.56	-123.32	39.54	0.16	0.33	0.87	0.03	0.11	9.61	0.11	9.52	-0.03
9.03	5.19	0.59	5.19	0.59	0.11	0.11	-18.95	-123.32	40.32	0.16	0.32	0.87	0.03	0.10	9.80	0.12	9.71	-0.02
9.04	5.24	0.60	5.24	0.60	0.11	0.11	-19.36	-123.32	41.36	0.16	0.32	0.87	0.03	0.10	10.01	0.12	9.91	-0.02
9.05	5.29	0.61	5.29	0.61	0.12	0.12	-19.77	-123.32	42.66	0.17	0.31	0.88	0.03	0.09	10.22	0.12	10.12	-0.02
9.06	5.34	0.63	5.34	0.63	0.12	0.12	-20.20	-123.32	44.19	0.17	0.30	0.88	0.03	0.09	10.43	0.12	10.33	-0.02
9.07	5.39	0.64	5.39	0.64	0.12	0.12	-20.64	-123.32	45.91	0.17	0.29	0.89	0.03	0.09	10.66	0.13	10.55	-0.02
9.08	5.44	0.65	5.44	0.65	0.12	0.12	-21.10	-123.32	47.77	0.17	0.28	0.89	0.03	0.08	10.89	0.13	10.78	-0.02
9.09	5.50	0.67	5.50	0.67	0.12	0.12	-21.57	-123.32	49.69	0.18	0.28	0.89	0.03	0.08	11.13	0.14	11.02	-0.02
9.10	5.55	0.68	5.55	0.68	0.12	0.12	-22.05	-123.32	51.55	0.18	0.27	0.90	0.03	0.07	11.38	0.14	11.26	-0.02
9.11	5.61	0.70	5.61	0.70	0.12	0.12	-22.55	-123.32	53.25	0.18	0.26	0.90	0.03	0.07	11.63	0.15	11.51	-0.02
9.12	5.66	0.71	5.66	0.71	0.13	0.13	-23.07	-123.32	54.64	0.18	0.25	0.90	0.03	0.06	11.89	0.15	11.77	-0.02
9.13	5.72	0.73	5.72	0.73	0.13	0.13	-23.61	-123.32	55.63	0.18	0.25	0.91	0.03	0.06	12.16	0.15	12.03	-0.02
9.14	5.78	0.74	5.78	0.74	0.13	0.13	-24.16	-123.32	56.13	0.18	0.24	0.91	0.03	0.06	12.44	0.15	12.31	-0.02
9.15	5.84	0.76	5.84	0.76	0.13	0.13	-24.73	-123.32	56.12	0.18	0.23	0.91	0.03	0.05	12.73	0.15	12.59	-0.02
9.16	5.90	0.78	5.90	0.78	0.13	0.13	-25.33	-123.32	55.64	0.18	0.22	0.92	0.03	0.05	13.02	0.15	12.89	-0.02
9.17	5.97	0.80	5.97	0.80	0.13	0.13	-25.94	-123.32	54.78	0.18	0.22	0.92	0.03	0.05	13.33	0.15	13.20	-0.01
9.18	6.03	0.81	6.03	0.81	0.13	0.13	-26.57	-123.32	53.66	0.18	0.21	0.92	0.03	0.04	13.64	0.14	13.51	-0.01
9.19	6.10	0.83	6.10	0.83	0.14	0.14	-27.23	-123.32	52.42	0.18	0.20	0.93	0.03	0.04	13.97	0.14	13.84	-0.01
9.20	6.17	0.85	6.17	0.85	0.14	0.14	-27.91	-123.32	51.17	0.18	0.19	0.93	0.03	0.04	14.30	0.14	14.18	-0.01
